page,title,nid,file_id,filename,alt,uses_elsewhere,confidence,why,src
"/about/laws/policy","Policy and Legislation","","32055","Policy & Leg.png","Policy &amp; legislative banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Policy%20%26%20Leg.png"
"/about/leadership","Leadership","","50721","About - Leadership Banner.png","Leadership Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/About%20-%20Leadership%20Banner.png"
"/about/leadership/studentleadership","Student Leadership","","39431","Student Leadership - Web Banner.png","Student Leadership - Web Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Student%20Leadership%20-%20Web%20Banner.png"
"/about/leadership/studentleadership/studentcabinet","Student Cabinet","","39429","Student Leadership - Student Cabinet Web Banner.png","Student Cabinet Web Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Student%20Leadership%20-%20Student%20Cabinet%20Web%20Banner.png"
"/about/partnerships/global","Global Partners Network","","44481","Partnerships - Global Partner Network - Home Banner.png","Global partners banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Partnerships%20-%20Global%20Partner%20Network%20-%20Home%20Banner.png"
"/about/updates","Department Updates","","42457","Department Updates - Web Banner.png","Department Updates - Web Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Department%20Updates%20-%20Web%20Banner.png"
"/artsandhumanities","Arts & Humanities Hub","","48997","Arts & Humanities Hub - Website Banner.png","Arts banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Arts%20%26%20Humanities%20Hub%20-%20Website%20Banner.png"
"/assessment/achievement","Maine Through Year Assessment Summative Achievement Level Summaries","","43975","Assessment - Summative Achievement Level Summaries.png","Summative Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Assessment%20-%20Summative%20Achievement%20Level%20Summaries.png"
"/assessment/achievement/math","Maine Through Year Assessment Summative Achievement Level Summaries - Math","","43971","Assessment - Summative Achievement Level Summaries Math.png"," Math Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Assessment%20-%20Summative%20Achievement%20Level%20Summaries%20Math.png"
"/assessment/achievement/reading","Maine Through Year Assessment Summative Achievement Level Summaries - Reading","","43973","Assessment - Summative Achievement Level Summaries Reading.png","Reading Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Assessment%20-%20Summative%20Achievement%20Level%20Summaries%20Reading.png"
"/assessment/contact","Assessment Team Contact","","47473","Contact Us Website Banner.png","Contact Us banner","12","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Contact%20Us%20Website%20Banner.png"
"/cds","Child Development Services (CDS)","","37493","CDS Website Banner.png","Child Development Services Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/CDS%20Website%20Banner.png"
"/cds/earlychildhoodspecialeducation","Early Childhood Special Education","","42473","Special Services - Early Childhood Special Education Homepage Banner.png","Special Services - Early Childhood Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Special%20Services%20-%20Early%20Childhood%20Special%20Education%20Homepage%20Banner.png"
"/cert","Certification & Credentialing","","42379","Certification - Home Banner.png","certification banner","0","7","at top + full width + named banner","https://www.maine.gov/doe/sites/maine.gov.doe/files/inline-images/Certification%20-%20Home%20Banner.png"
"/cert/faq","Certification Frequently Asked Questions","","41281","Certification - Frequently Asked Questions Web Banner.png","FAQ Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Certification%20-%20Frequently%20Asked%20Questions%20Web%20Banner.png"
"/data-reporting/medmssupport","MEDMS Data Systems Support","","36587","MEDMS.png","MEDMS Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/MEDMS.png"
"/data-reporting/privacy","Data Privacy","","36593","Data Privacy.png","Data Privacy Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Data%20Privacy.png"
"/data-reporting/ReportingCalendars","Student and Staff Data Reporting Calendars","","53083","Data - Calendars Banner.png","Data Calendar Banner","0","7","at top + full width + named banner","/doe/sites/maine.gov.doe/files/inline-images/Data%20-%20Calendars%20Banner.png"
