module_id,safe_folder,lesson_id,lesson_title,grades,competencies,slug
A_Conscious_Conscience_G10_2022_Update,A_Conscious_Conscience_G10_2022_Update,3263,A Conscious Conscience: Using Self-Talk to Manage Anger,Grade 10,self management,rm_a_conscious_conscience_using_selftalk_to_manage_anger
A_Matter_of_Perspective_G12_V022124,A_Matter_of_Perspective_G12_V022124,2978,A Matter of Perspective,Grade 12,self awareness,rm_a_matter_of_perspective
Am_I_a_Good_Listener_G5_V022224a,Am_I_a_Good_Listener_G5_V022224a,9060,Am I a Good Listener?,Grade 5,relationship skills,rm_am_i_a_good_listener
Am_I_Sharing_or_Bragging_UPDATED_CE,Am_I_Sharing_or_Bragging_UPDATED_CE,8146,Am I Sharing or Bragging?,Grade 1,social awareness,rm_am_i_sharing_or_bragging
Anger_Management_G10_2023_V022124,Anger_Management_G10_2023_V022124,6619,Anger Management,Grade 10,self management,rm_anger_management
Are_You_A_Loyal_Friend_G6_2023_V112623a,Are_You_A_Loyal_Friend_G6_2023_V112623a,7655,Are You A Loyal Friend?,Grade 6,relationship skills,rm_are_you_a_loyal_friend
Are_You_Going_to_Play_in_College_G9_2023_V021924,Are_You_Going_to_Play_in_College_G9_2023_V021924,1595,Are You Going to Play in College?,Grade 9,,rm_are_you_going_to_play_in_college
Assertiveness_Finding_Your_Voice_G6_2023_V022124,Assertiveness_Finding_Your_Voice_G6_2023_V022124,7565,Assertiveness: Finding Your Voice,Grade 6,relationship skills,rm_assertiveness_finding_your_voice
Athletic_Recruitment_G10,Athletic_Recruitment_G10,1356,Athletic Recruitment,Grade 10,,rm_athletic_recruitment
Be_A_Learner_For_Life_G1_2023_v022124a,Be_A_Learner_For_Life_G1_2023_v022124a,9238,Be a Learner For Life!,Grade 1,social awareness,rm_be_a_learner_for_life
Be_Clear_When_Communicating_G10_2022_Update,Be_Clear_When_Communicating_G10_2022_Update,7446,Be Clear when Communicating,Grade 10,relationship skills,rm_be_clear_when_communicating
Beware_What_You_Share_G6_2022_Update,Beware_What_You_Share_G6_2022_Update,6021,Beware What You Share: So You Think You Know Social Media?,Grade 6,responsible decision making,rm_beware_what_you_share_so_you_think_you_know_social_media
Bring_Balance_To_Your_Screen_Time_G1_V022124,Bring_Balance_To_Your_Screen_Time_G1_V022124,8863,Bring Balance To Your Screen Time,Grade 1,responsible decision making,rm_bring_balance_to_your_screen_time
Can_I_Do_This_Later_G5_2023_V022124,Can_I_Do_This_Later_G5_2023_V022124,2051,Can I Do This Later?,Grade 5,self management,rm_can_i_do_this_later
Can_I_Play_Too_GK_2022_V022124,Can_I_Play_Too_GK_2022_V022124,8751,Can I Play Too? How to Join a Group,Grade K,relationship skills,rm_can_i_play_too_how_to_join_a_group
Can_We_Talk_Respectful_Communication_Among_Friends_G11,Can_We_Talk_Respectful_Communication_Among_Friends_G11,7238,Can we Talk? Respectful Communication Among Friends,Grade 11,relationship skills,rm_can_we_talk
Career_Options_and_College_G7,Career_Options_and_College_G7,3549,Career Options and College,Grade 7,self management,rm_what_are_the_important_steps_to_getting_into_college
